t,a_abs (m/s2),a1_measured (m/s2)
78.42,,-0.00067029513
78.43,,-0.00069527719
78.43,,-0.0007196174800000001
78.43,,-0.00074198923
78.44,,-0.00076078042
78.44,,-0.00077432374
78.44,,-0.0007811281100000001
78.45,,-0.00078008882
78.45,,-0.00077065529
78.45,,-0.00075294028
78.46,,-0.00072775963
78.46,,-0.00069659873
78.46,,-0.00066150857
78.47,,-0.00062494106
78.47,,-0.00058953885
78.47,,-0.00055789924
78.48,,-0.00053233407
78.48,,-0.0005146481599999999
78.48,,-0.0005059569399999999
78.49,,-0.00050656073
78.49,,-0.00051588794
78.49,,-0.0005325134100000001
78.5,,-0.0005542514300000001
78.5,,-0.0005783165
78.5,,-0.00060153871
78.51,,-0.00062061601
78.51,,-0.0006323823000000001
78.51,,-0.0006340688
78.52,,-0.00062353688
78.52,,-0.00059946265
78.52,,-0.00056145795
78.53,,-0.00051011767
78.53,,-0.00044698934
78.53,,-0.00037446778
78.54,,-0.00029562338
78.54,,-0.00021397834000000003
78.54,,-0.00013324912
78.55,,-5.7076067000000004e-05
78.55,,1.1238128e-05
78.55,,6.896035800000001e-05
78.56,,0.00011411156
78.56,,0.00014558986
78.56,,0.00016322388
78.57,,0.00016775349
78.57,,0.00016074125000000003
78.57,,0.00014442332000000002
78.58,,0.00012151331
78.58,,9.49759e-05
78.58,,6.7789203e-05
78.59,,4.2714958000000005e-05
78.59,,2.2094601e-05
78.59,,7.6864078e-06
78.6,,5.551385e-07
78.6,,1.0208906e-06
78.6,,8.6688293e-06
78.61,,2.2416453000000003e-05
78.61,,4.0630518e-05
78.61,,6.1282058e-05
78.62,,8.212533100000001e-05
78.62,,0.00010088526000000001
78.62,,0.00011543794
78.63,,0.00012397013000000002
78.63,,0.00012510610999999999
78.63,,0.00011799334999999999
78.64,,0.00010234268
78.64,,7.842203500000001e-05
78.64,,4.7007276e-05
78.65,,9.2963959e-06
78.65,,-3.3203566e-05
78.65,,-7.8806175e-05
78.66,,-0.00012578028999999998
78.66,,-0.00017247858
78.66,,-0.00021745007000000002
78.67,,-0.00025952856999999997
78.67,,-0.00029789177
78.67,,-0.00033208831000000003
78.68,,-0.00036203302
78.68,,-0.00038797318
78.68,,-0.00041043082
78.69,,-0.00043012744
78.69,,-0.00044789895000000007
78.69,,-0.00046460814
78.7,,-0.00048106218
78.7,,-0.00049794116
78.7,,-0.0005157425899999999
78.71,,-0.00053474464
78.71,,-0.00055498956
78.71,,-0.00057628669
78.72,,-0.0005982329000000001
78.72,,-0.00062024757
78.72,,-0.00064161783
78.73,,-0.0006615499699999999
78.73,,-0.0006792226899999999
78.73,,-0.0006938383600000001
78.74,,-0.00070466916
78.74,,-0.00071109574
78.74,,-0.00071263701
78.75,,-0.0007089704199999999
78.75,,-0.0006999430099999999
78.75,,-0.0006855737300000001
78.76,,-0.0006660483
78.76,,-0.0006417076200000001
78.76,,-0.00061303096
78.77,,-0.00058061491
78.77,,-0.00054514884
78.77,,-0.0005073873899999999
78.78,,-0.00046812046000000004
78.78,,-0.00042814089
78.78,,-0.00038821037000000004
78.79,,-0.00034902418999999997
78.79,,-0.00031117579
78.79,,-0.00027512245000000003
78.8,,-0.00024115403
78.8,,-0.00020936681
78.8,,-0.0001796447
78.81,,-0.00015165035
78.81,,-0.00012482811
78.81,,-9.8420501e-05
78.82,,-7.1499061e-05
78.82,,-4.3009397e-05
78.82,,-1.1829240999999999e-05
78.83,,2.3162921000000002e-05
78.83,,6.3012178e-05
