Tiempo [s],u [m],v [m/s],a [m/s²]
51.68,3.064875522467586e-07,1.3820788543728442e-05,-0.00037566010736974167
51.69,3.4934791531561374e-07,1.254505625310106e-05,-0.0004038981269943064
51.69,3.8773194179557754e-07,1.1178623851662327e-05,-0.00042802417979021255
51.69,4.213739262661945e-07,9.73590647938405e-06,-0.00044718796849181386
51.7,4.5006299001042135e-07,8.234060725263794e-06,-0.0004606506467090633
51.7,4.736511354410548e-07,6.692566630006708e-06,-0.00046784061210874387
51.7,4.920594741388898e-07,5.132633275324959e-06,-0.0004683978228882065
51.71,5.052821459138415e-07,3.576469160560659e-06,-0.00046220310353421577
51.71,5.133876111555069e-07,2.046469768201237e-06,-0.00044938960085601324
51.71,5.165171913111013e-07,5.643824555576764e-07,-0.0004303356244853767
51.72,5.148809357187072e-07,-8.494896722338631e-07,-0.0004056393477975281
51.72,5.087510893721218e-07,-2.1769864000213692e-06,-0.00037607771814444885
51.72,4.984536079057396e-07,-3.4026419950330845e-06,-0.0003425532716936077
51.73,4.843582976537472e-07,-4.514053363526291e-06,-0.00030603356605808164
51.73,4.6686823878153497e-07,-5.502044656262601e-06,-0.0002674886210458062
51.73,4.46409170893714e-07,-6.360626392804462e-06,-0.00022783201904555105
51.74,4.234194816707635e-07,-7.086765469940482e-06,-0.00018787066486799356
51.74,3.983413442838264e-07,-7.679998661501069e-06,-0.00014826769592763282
51.74,3.7161340753511656e-07,-8.141935892578176e-06,-0.00010952148100788601
51.75,3.4366526798224073e-07,-8.475708143423216e-06,-7.196217959256932e-05
51.75,3.149137625332228e-07,-8.685418441118817e-06,-3.576576919938155e-05
51.75,2.85760931701338e-07,-8.775652351180827e-06,-9.833632817496247e-07
51.76,2.565933364780143e-07,-8.751096323807339e-06,3.241731692561281e-05
51.76,2.2778228174976366e-07,-8.616300290600913e-06,6.450325740941617e-05
51.76,1.9968441974547834e-07,-8.375604226320574e-06,9.532544837246252e-05
51.77,1.7264218616465482e-07,-8.033230597106234e-06,0.00012487192952167255
51.77,1.469835617786984e-07,-7.593525847449295e-06,0.0001530298077436215
51.77,1.2302075020324486e-07,-7.061317200767087e-06,0.00017956082778039593
51.78,1.0104750883478269e-07,-6.442337067807759e-06,0.00020409353082136763
51.78,8.133505036636211e-08,-5.7436584073483755e-06,0.00022613363597859617
51.78,6.412662916519868e-08,-4.97408061631817e-06,0.00024509226053881364
51.79,4.9631120040613365e-08,-4.144408295757167e-06,0.000260329808179864
51.79,3.801606661654255e-08,-3.267573795893181e-06,0.00027121176934264194
51.79,2.94008044894766e-08,-2.3585682801986172e-06,0.00027717109729453966
51.8,2.3850335564282162e-08,-1.4341643920063874e-06,0.00027777115681921176
51.8,2.1370635390272243e-08,-5.124338972680068e-07,0.000272762906728514
51.8,2.190601162106938e-08,3.879153045665121e-07,0.0002621301105381008
51.81,2.5339001636032315e-08,1.248338604438976e-06,0.00024611742613283666
51.81,3.1493111434409796e-08,2.051330473393398e-06,0.00022523777573671346
51.81,4.013847145648014e-08,2.7813056821432426e-06,0.0002002567518300479
51.82,5.100023789355413e-08,3.425409952497662e-06,0.00017215471764525872
51.82,6.376932346681939e-08,3.97418721495078e-06,0.00014206843310887016
51.82,7.811482227349495e-08,4.422039183717416e-06,0.00011121695800001257
51.83,9.369732129228123e-08,4.767429607089669e-06,8.081755291992099e-05
51.83,1.1018218401747223e-07,5.01280582349803e-06,5.199874329528006e-05
51.83,1.2725186169992594e-07,5.164234596947944e-06,2.571826268583413e-05
51.84,1.4461634058822165e-07,5.230774536594926e-06,2.693123889696912e-06
51.84,1.6202096685574402e-07,5.223631128586254e-06,-1.6651459601623324e-05
51.84,1.7925109503868153e-07,5.155161224059366e-06,-3.220949054489876e-05
51.85,1.961332640255592e-07,5.0378084573501456e-06,-4.419482085206066e-05
51.85,2.1253289494265524e-07,4.883059287539852e-06,-5.311450486803854e-05
51.85,2.2834880197168866e-07,4.700509083929703e-06,-5.971668684990987e-05
51.86,2.4350508345076075e-07,4.497119638280068e-06,-6.491722645686937e-05
51.86,2.579411909297137e-07,4.276733696679616e-06,-6.971139878476339e-05
51.86,2.716011363540329e-07,4.039889981477957e-06,-7.507820625686043e-05
51.87,2.84422876553474e-07,3.7839561227993335e-06,-8.188595152895366e-05
51.87,2.9632890100128595e-07,3.503568328911859e-06,-9.080743221945273e-05
51.87,3.072189434847095e-07,3.191339230557565e-06,-0.0001022525480291203
51.88,3.169655495033473e-07,2.8387707598906875e-06,-0.00011632443790013764
51.88,3.2541297522619644e-07,2.4372901702554936e-06,-0.00013280329956038252
51.88,3.3237959358838775e-07,1.9793156616078908e-06,-0.00015115940412501087
51.89,3.376636659199049e-07,1.4592551944085077e-06,-0.00017059422611025293
51.89,3.4105203239238485e-07,8.743478598573731e-07,-0.0001901059857451257
51.89,3.423310097972973e-07,2.2527146057429226e-07,-0.00020857356944654508
51.9,3.41298585164922e-07,-4.835386709809444e-07,-0.00022485128303836535
51.9,3.3777687700697976e-07,-1.2438883464593302e-06,-0.00023786558286486022
51.9,3.3162381354579544e-07,-2.0441400348942552e-06,-0.00024670508956087115
51.91,3.2274305078163506e-07,-2.869815922635577e-06,-0.00025069560266877263
51.91,3.1109131558351355e-07,-3.704432918350348e-06,-0.00024945339081308194
51.91,2.9668259444023634e-07,-4.530493363254936e-06,-0.00024291216741773345
51.92,2.7958887457271616e-07,-5.33054180229881e-06,-0.00023132143668072995
51.92,2.599374534532246e-07,-6.088193083527897e-06,-0.000215217049472418
51.92,2.3790513597908218e-07,-6.789041524813975e-06,-0.00019536681650783136
51.93,2.137099070329646e-07,-7.421372975356439e-06,-0.00017269714260281078
51.93,1.8760087567865295e-07,-7.976622186815591e-06,-0.000148207495523297
51.93,1.5984741699479693e-07,-8.449542245888876e-06,-0.00012288147323661247
51.94,1.3072847701176162e-07,-8.83808153275691e-06,-9.760263327007434e-05
51.94,1.005229530626432e-07,-9.14299095468105e-06,-7.308333488034625e-05
51.94,6.950192279136407e-08,-9.367210050784334e-06,-4.981285801738489e-05
51.95,3.792328499170104e-08,-9.515100208707995e-06,-2.8029580719180736e-05
51.95,6.0291159502677e-09,-9.59160682807577e-06,-7.7191831135942e-06
51.95,-2.595423776622194e-08,-9.601436890704744e-06,1.1361476494940759e-05
51.96,-5.7813587041820433e-08,-9.548335012932965e-06,2.9637811368520914e-05
51.96,-8.93443515458686e-08,-9.434529318720265e-06,4.765337221852104e-05
51.96,-1.2034472859068468e-07,-9.260400141781954e-06,6.599485477022176e-05
51.97,-1.5060939151099093e-07,-9.024401375846072e-06,8.521389938001857e-05
51.97,-1.7992356489802782e-07,-8.72323869803594e-06,0.00010575344449375422
51.97,-2.080582750215006e-07,-8.352283497280951e-06,0.00012788582029321928
51.98,-2.3476744720223603e-07,-7.906178548059169e-06,0.0001516683734034863
51.98,-2.5978733209438566e-07,-7.379573662542315e-06,0.0001769206187186109
51.98,-2.828385099205821e-07,-6.767918116479292e-06,0.00020322465545158684
51.99,-3.036304695845714e-07,-6.068232765579434e-06,0.0002299482903800518
51.99,-3.218685133670712e-07,-5.27978845096847e-06,0.0002562881211999088
51.99,-3.3726252128766624e-07,-4.4046279960888415e-06,0.0002813279766944852
52.0,-3.495369422433782e-07,-3.4478855394794975e-06,0.0003041067931240937
52.0,-3.584412760391023e-07,-2.4178772386379585e-06,0.0003236893397049152
52.0,-3.6376027881208513e-07,-1.3259593503384102e-06,0.00033923319037047945
52.01,-3.653231644439585e-07,-1.8617121714529887e-07,0.00035004592100209924
52.01,-3.630111790012463e-07,9.853004883172744e-07,0.00035562800838862435
52.01,-3.5676308071701993e-07,2.1707858500381696e-06,0.0003556981304474497
52.02,-3.4657824718534427e-07,3.3518646281642084e-06,0.0003501998649921825
52.02,-3.325173335279583e-07,4.510106549493595e-06,0.0003392904385660174
52.02,-3.147005999372309e-07,5.627761118482403e-06,0.00032331390456914624
52.03,-2.933041955819092e-07,6.688348356721983e-06,0.0003027627230648984
52.03,-2.6855481317931507e-07,7.677115586074264e-06,0.0002782322737822656
52.03,-2.4072320493446854e-07,8.58134111268835e-06,0.0002503735982018395
52.04,-2.101170720503845e-07,9.390482774008785e-06,0.0002198490089244324
52.04,-1.7707380890885172e-07,1.0096184545422419e-05,0.0001872949331648849
52.04,-1.419535067410646e-07,1.06921677295565e-05,0.00015329488147922428
52.05,-1.0513251248103874e-07,1.117404187541111e-05,0.00011836421740324691
52.05,-6.699771145700338e-08,1.153907493503819e-05,8.294693360226572e-05
52.05,-2.7941573453171983e-08,1.1785961565930588e-05,4.742309827431828e-05
52.06,1.164211411921886e-08,1.1914623203619101e-05,1.2124640182678115e-05
52.06,5.136199185284864e-08,1.1926064856492849e-05,-2.2643939787000533e-05
52.06,9.083257315763062e-08,1.1822302120164811e-05,-5.658343986041871e-05
52.07,1.2967762358533236e-07,1.1606359971508707e-05,-8.93802080846741e-05
52.07,1.6753368562818456e-07,1.1282332868591782e-05,-0.00012069182313744892
52.07,2.0405390150570614e-07,1.0855486079783536e-05,-0.00015014057689799327
52.08,2.389122029751053e-07,1.0332371221998864e-05,-0.00017731597577622492
52.08,2.7180784019728477e-07,9.720925892918107e-06,-0.0002017863239494019
52.08,3.0247012414635724e-07,9.030528081328403e-06,-0.00022311823989591722
52.09,3.306631716019653e-07,8.271980678183587e-06,-0.00024090198591524567
52.09,3.5619037929743966e-07,7.4574091154341595e-06,-0.0002547797262236057
52.09,3.788983222876397e-07,6.60006508354808e-06,-0.0002644734582159323
52.1,3.986797752428913e-07,5.714040133335295e-06,-0.0002698093574943047
52.1,4.1547559421364306e-07,4.813903529702556e-06,-0.00027073564044852833
52.1,4.292752664287716e-07,3.914287776339511e-06,-0.0002673317713845652
52.11,4.401160293372317e-07,3.0294517161977493e-06,-0.00025980775018242933
52.11,4.4808056723356274e-07,2.172854400349678e-06,-0.00024849332726924325
52.11,4.5329340284399423e-07,1.3567725637691779e-06,-0.0002338180304041607
52.12,4.559162005482885e-07,5.919907604657263e-07,-0.00021628389311651656
52.12,4.5614227699342836e-07,-1.124136926095269e-07,-0.00019643349888729495
52.12,4.541906654989772e-07,-7.49177948181822e-07,-0.00017481646045902212
52.13,4.503000978900745e-07,-1.312850466443496e-06,-0.0001519575081391876
52.13,4.447232500040851e-07,-1.7996853198875485e-06,-0.00012832918536549706
52.13,4.3772154714310355e-07,-2.2074514558840354e-06,-0.00010433171132148052
52.14,4.295607491872474e-07,-2.535182017332141e-06,-8.028146279456245e-05
