t,u (m),v (m/s),a (m/s2)
166.83,1.7270307746807225e-08,2.949519262955561e-07,-1.0028745580589875e-05
166.83,1.8195837112593427e-08,2.604941604063836e-07,-1.1263074231653404e-05
166.83,1.9000101159462536e-08,2.2216266204117855e-07,-1.2208566339823473e-05
166.84,1.9671750072683287e-08,1.8089780989269486e-07,-1.2892113866249245e-05
166.84,2.0202412990215278e-08,1.375470127809296e-07,-1.3344604752954318e-05
166.84,2.0586372628590035e-08,9.285497660424495e-08,-1.3596618655706548e-05
166.85,2.0820230504697198e-08,4.7467853145524676e-08,-1.3674681522627617e-05
166.85,2.0902605434655084e-08,1.949148191187963e-09,-1.3598390685697722e-05
166.85,2.083389930658521e-08,-4.319570726071792e-08,-1.3378643881381738e-05
166.86,2.0616152677908588e-08,-8.748990561948857e-08,-1.3017095982373309e-05
166.86,2.0252999619017696e-08,-1.3045503673095178e-07,-1.2506859294806546e-05
166.86,1.9749717666002403e-08,-1.715841315164158e-07,-1.1834326197563693e-05
166.87,1.9113356056648933e-08,-2.103215520122128e-07,-1.0981916903458251e-05
166.87,1.8352914758747598e-08,-2.4605256091353597e-07,-9.9314515785645e-06
166.87,1.7479539079367103e-08,-2.7810437323757434e-07,-8.667812524689004e-06
166.88,1.650669056882794e-08,-3.057593375521195e-07,-7.1825131076737135e-06
166.88,1.545025483438412e-08,-3.282796538833944e-07,-5.4768349848428305e-06
166.88,1.4328550719749708e-08,-3.4494191548541873e-07,-3.5642050541991116e-06
166.89,1.3162212709634693e-08,-3.5507873668625095e-07,-1.4715678974223996e-06
166.89,1.1973928738812521e-08,-3.5812400155457115e-07,7.603865655675081e-07
166.89,1.0788027792426358e-08,-3.536578661325305e-07,3.0782017607217115e-06
166.9,9.629924729679853e-09,-3.4144754173678357e-07,5.4177811247191544e-06
166.9,8.525442507352257e-09,-3.214801737069773e-07,7.707493571591273e-06
166.9,7.500043225079712e-09,-2.939847472546303e-07,9.872024569802037e-06
166.91,6.578008219988146e-09,-2.5944079692936786e-07,1.1836658567081484e-05
166.91,5.781613057250742e-09,-2.185727686790711e-07,1.353164859985854e-05
166.91,5.130345182411967e-09,-1.7233003360232033e-07,1.4896325430838589e-05
166.92,4.640210103775371e-09,-1.2185369487972514e-07,1.5882618318505258e-05
166.92,4.323166437726057e-09,-6.843237373111952e-08,1.6457717874987992e-05
166.92,4.18672147668662e-09,-1.344999981724191e-08,1.660568215719959e-05
166.93,4.233707911640014e-09,4.167079189370167e-08,1.6327890634531804e-05
166.93,4.4622499210456725e-09,9.552579999288693e-08,1.564232516573773e-05
166.93,4.865914070292427e-09,1.467831145854061e-07,1.458178997427774e-05
166.94,5.434028441031774e-09,1.942302910868471e-07,1.3191230734305031e-05
166.94,6.152143126027356e-09,2.368120614885345e-07,1.1524422277325778e-05
166.94,7.002597489362986e-09,2.736567181113105e-07,9.640312461127047e-06
166.95,7.965155014201585e-09,3.040902854720316e-07,7.599336301120821e-06
166.95,9.017665361612637e-09,3.2763864515096636e-07,5.4600171802221855e-06
166.95,1.013671549279676e-08,3.440187914520205e-07,3.2761201731612633e-06
166.96,1.129823700062774e-08,3.5312122320524505e-07,1.0945554463685178e-06
166.96,1.2478044520923119e-08,3.549861050419275e-07,-1.0458085731178209e-06
166.96,1.3652289535025866e-08,3.497762444326673e-07,-3.114405788044952e-06
166.97,1.479782404483694e-08,3.377499450148816e-07,-5.088339112420573e-06
166.97,1.5892478452615157e-08,3.19236597785403e-07,-6.9509949896202885e-06
166.97,1.6915266666077227e-08,2.9461736570434426e-07,-8.69008774574157e-06
166.98,1.7846538142797247e-08,2.6431263205995334e-07,-1.0295410017942032e-05
166.98,1.8668100638306454e-08,2.2877697133621754e-07,-1.1756554467892499e-05
166.98,1.9363338479362062e-08,1.8850151799425725e-07,-1.3060871146608182e-05
166.99,1.9917349282269608e-08,1.4402271797843687e-07,-1.4191936131793652e-05
166.99,2.0317117282211053e-08,9.593561502676733e-08,-1.5128703851722967e-05
166.99,2.0551734381043474e-08,4.490928067410948e-08,-1.5845477682742037e-05
167.0,2.0612671429040348e-08,-8.298384540813447e-09,-1.631275271204283e-05
167.0,2.0494092881898085e-08,-6.282934178945584e-08,-1.649887775378344e-05
167.0,2.0193198844935126e-08,-1.1772021912656612e-07,-1.6372406650183557e-05
167.01,1.971057056259442e-08,-1.719053852687411e-07,-1.5904966692821226e-05
167.01,1.905048936273527e-08,-2.2422977869913764e-07,-1.5074359747840165e-05
167.01,1.8221195650275337e-08,-2.7347205171370356e-07,-1.3867636807727862e-05
167.02,1.723505418687782e-08,-3.1837768898553766e-07,-1.2283843755393717e-05
